Latitude,Longitude,Elevation
-34.2633400,18.44348000,193.0
-34.2633400,18.44340000,191.0
-34.2633700,18.44333000,189.0
-34.2634400,18.44318000,185.0
-34.2635300,18.44307000,183.0
-34.2635400,18.44300000,181.0
-34.2634900,18.44293000,181.0
-34.2634200,18.44285000,181.0
-34.2633900,18.44278000,180.0
-34.2632800,18.44265000,178.0
-34.2632800,18.44250000,175.0
-34.2633000,18.44233000,172.0
-34.2631800,18.44214000,171.0
-34.2630900,18.44170000,165.0
-34.2631200,18.44145000,160.0
-34.2633800,18.44095000,152.0
-34.2634200,18.44079000,150.0
-34.2633900,18.44062000,146.0
-34.2634000,18.44037000,141.0
-34.2634200,18.44004000,136.0
-34.2633900,18.43938000,131.0
-34.2634700,18.43914000,128.0
-34.2634200,18.43894000,127.0
-34.2633400,18.43886000,127.0
-34.2633800,18.43866000,125.0
-34.2633200,18.43824000,121.0
-34.2633500,18.43811000,119.0
-34.2633500,18.43797000,117.0
-34.2633300,18.43790000,116.0
-34.2633100,18.43780000,115.0
-34.2633600,18.43759000,111.0
-34.2634100,18.43756000,110.0
-34.2635300,18.43749000,109.0
-34.2638200,18.43684000,103.0
-34.2638700,18.43673000,102.0
-34.2639200,18.43663000,102.0
-34.2639100,18.43657000,102.0
-34.2639700,18.43639000,101.0
-34.2640100,18.43621000,101.0
-34.2640600,18.43608000,101.0
-34.2641400,18.43590000,100.0
-34.2641300,18.43545000,96.0
-34.2642100,18.43485000,96.0
-34.2642900,18.43471000,96.0
-34.2643400,18.43452000,95.0
-34.2644400,18.43427000,94.0
-34.2645700,18.43358000,92.0
-34.2647300,18.43295000,90.0
-34.2649900,18.43204000,89.0
-34.2650600,18.43166000,89.0
-34.2650900,18.43159000,89.0
-34.2651300,18.43137000,88.0
-34.2651500,18.43111000,88.0
-34.2651900,18.43091000,89.0
-34.2652600,18.43078000,90.0
-34.2653500,18.43043000,90.0
-34.2654800,18.43008000,89.0
-34.2655100,18.42991000,89.0
-34.2655200,18.42971000,89.0
-34.2655100,18.42950000,89.0
-34.2655700,18.42928000,88.0
-34.2655300,18.42882000,86.0
-34.2655400,18.42865000,86.0
-34.2656200,18.42851000,84.0
-34.2659100,18.42823000,79.0
-34.2660300,18.42803000,77.0
-34.2661600,18.42784000,76.0
-34.2663200,18.42764000,75.0
-34.2664100,18.42743000,76.0
-34.2665600,18.42724000,76.0
-34.2666800,18.42703000,75.0
-34.2667800,18.42679000,73.0
-34.2669200,18.42638000,72.0
-34.2670000,18.42624000,71.0
-34.2670400,18.42608000,70.0
-34.2669700,18.42594000,70.0
-34.2669600,18.42581000,69.0
-34.2670300,18.42577000,69.0
