Latitude,Longitude,Elevation
-34.1458600,18.32007000,10.0
-34.1459600,18.32029000,11.0
-34.1460700,18.32052000,11.0
-34.1461200,18.32063000,11.0
-34.1461400,18.32087000,12.0
-34.1460100,18.32101000,12.0
-34.1458200,18.32123000,13.0
-34.1455700,18.32144000,12.0
-34.1453700,18.32162000,11.0
-34.1451900,18.32178000,11.0
-34.1450000,18.32200000,12.0
-34.1448300,18.32221000,11.0
-34.1447400,18.32229000,12.0
-34.1445300,18.32248000,12.0
-34.1443400,18.32266000,12.0
-34.1441200,18.32286000,11.0
-34.1439300,18.32306000,12.0
-34.1437500,18.32322000,12.0
-34.1435800,18.32340000,13.0
-34.1433900,18.32360000,13.0
-34.1432100,18.32375000,13.0
-34.1431600,18.32380000,13.0
-34.1429600,18.32399000,13.0
-34.1427600,18.32417000,14.0
-34.1425900,18.32433000,14.0
-34.1424000,18.32449000,14.0
-34.1422300,18.32466000,15.0
-34.1420600,18.32483000,15.0
-34.1419300,18.32497000,15.0
-34.1419200,18.32509000,16.0
-34.1419100,18.32522000,17.0
-34.1419100,18.32531000,18.0
-34.1417700,18.32548000,19.0
-34.1417400,18.32562000,20.0
-34.1416900,18.32578000,21.0
-34.1416400,18.32579000,21.0
-34.1415900,18.32580000,21.0
-34.1416500,18.32585000,21.0
-34.1416700,18.32588000,22.0
-34.1416600,18.32592000,21.0
-34.1416600,18.32599000,21.0
-34.1416300,18.32613000,21.0
-34.1416200,18.32617000,21.0
-34.1416200,18.32589000,21.0
-34.1416500,18.32589000,21.0
-34.1416900,18.32585000,22.0
-34.1417100,18.32583000,22.0
-34.1417200,18.32579000,21.0
-34.1417200,18.32553000,19.0
-34.1416900,18.32548000,19.0
-34.1414600,18.32547000,18.0
-34.1414000,18.32548000,18.0
-34.1411700,18.32554000,17.0
-34.1410200,18.32561000,16.0
-34.1409800,18.32562000,16.0
-34.1409500,18.32559000,16.0
-34.1408900,18.32550000,15.0
-34.1408700,18.32547000,15.0
-34.1407600,18.32544000,15.0
-34.1406800,18.32544000,15.0
-34.1404100,18.32542000,14.0
-34.1401700,18.32542000,13.0
-34.1401200,18.32517000,12.0
-34.1401100,18.32488000,11.0
-34.1401100,18.32461000,10.0
-34.1401000,18.32429000,10.0
-34.1401000,18.32399000,10.0
-34.1400900,18.32379000,10.0
-34.1400800,18.32365000,10.0
-34.1400900,18.32328000,9.0
-34.1400800,18.32309000,9.0
-34.1400700,18.32278000,8.0
-34.1400200,18.32252000,7.0
-34.1399300,18.32248000,7.0
-34.1397400,18.32249000,7.0
-34.1397000,18.32248000,7.0
-34.1395900,18.32247000,6.0
-34.1394500,18.32247000,5.0
-34.1393900,18.32245000,5.0
-34.1393400,18.32239000,4.0
-34.1391600,18.32232000,3.0
-34.1389800,18.32233000,1.0
-34.1389200,18.32232000,1.0
-34.1388800,18.32231000,1.0
-34.1388200,18.32232000,1.0
-34.1387600,18.32232000,1.0
-34.1386800,18.32232000,1.0
-34.1386200,18.32234000,1.0
-34.1386100,18.32237000,1.0
-34.1386000,18.32241000,1.0
-34.1385600,18.32247000,1.0
-34.1383700,18.32255000,2.0
-34.1382200,18.32261000,2.0
-34.1381800,18.32263000,2.0
-34.1381600,18.32276000,3.0
-34.1381400,18.32281000,3.0
-34.1380600,18.32296000,5.0
-34.1380400,18.32300000,5.0
-34.1380000,18.32324000,6.0
-34.1379800,18.32348000,6.0
-34.1379700,18.32385000,8.0
-34.1379600,18.32411000,8.0
-34.1379500,18.32436000,7.0
-34.1379500,18.32467000,7.0
-34.1379500,18.32485000,8.0
-34.1379500,18.32511000,7.0
-34.1379500,18.32536000,7.0
-34.1379500,18.32563000,8.0
-34.1379400,18.32592000,9.0
-34.1379400,18.32608000,10.0
-34.1379400,18.32633000,9.0
-34.1379500,18.32655000,10.0
-34.1379500,18.32677000,10.0
-34.1379500,18.32701000,11.0
-34.1379500,18.32725000,11.0
-34.1379500,18.32730000,11.0
-34.1379500,18.32735000,11.0
-34.1379500,18.32751000,11.0
-34.1379500,18.32777000,11.0
-34.1379600,18.32802000,10.0
-34.1379600,18.32817000,10.0
-34.1379600,18.32842000,10.0
-34.1379700,18.32850000,10.0
-34.1379600,18.32855000,10.0
-34.1379600,18.32884000,11.0
-34.1379600,18.32913000,11.0
-34.1379600,18.32923000,11.0
-34.1379600,18.32934000,11.0
-34.1379700,18.32962000,12.0
-34.1379700,18.32991000,13.0
-34.1379700,18.33016000,13.0
-34.1379700,18.33045000,12.0
-34.1379600,18.33072000,12.0
-34.1379500,18.33097000,11.0
-34.1379000,18.33105000,11.0
-34.1376300,18.33109000,9.0
-34.1375300,18.33129000,9.0
-34.1374400,18.33152000,8.0
-34.1372300,18.33171000,8.0
-34.1370500,18.33192000,8.0
-34.1369400,18.33216000,9.0
-34.1368600,18.33237000,9.0
-34.1367800,18.33262000,9.0
-34.1366900,18.33289000,10.0
-34.1366200,18.33303000,9.0
-34.1366000,18.33295000,9.0
-34.1364800,18.33292000,8.0
-34.1364300,18.33289000,8.0
-34.1363800,18.33287000,7.0
-34.1362200,18.33280000,6.0
-34.1361800,18.33277000,6.0
-34.1360600,18.33268000,4.0
-34.1359800,18.33265000,4.0
-34.1359400,18.33265000,3.0
-34.1358400,18.33264000,3.0
-34.1357400,18.33269000,3.0
-34.1356000,18.33282000,4.0
-34.1355500,18.33290000,3.0
-34.1355200,18.33300000,3.0
