Latitude,Longitude,Elevation
-34.1785600,18.39051000,272.0
-34.1785000,18.39052000,272.0
-34.1783100,18.39051000,271.0
-34.1781500,18.39051000,271.0
-34.1779200,18.39051000,273.0
-34.1778700,18.39050000,274.0
-34.1776600,18.39045000,275.0
-34.1775900,18.39037000,274.0
-34.1774300,18.39026000,274.0
-34.1773500,18.39023000,275.0
-34.1771300,18.39013000,275.0
-34.1770500,18.39006000,275.0
-34.1770300,18.39004000,275.0
-34.1768900,18.38996000,275.0
-34.1768500,18.38995000,275.0
-34.1768100,18.38994000,275.0
-34.1766800,18.38994000,275.0
-34.1764400,18.38992000,276.0
-34.1762300,18.38989000,276.0
-34.1760600,18.38985000,276.0
-34.1758400,18.38985000,276.0
-34.1756500,18.38988000,275.0
-34.1754300,18.38983000,273.0
-34.1752500,18.38984000,271.0
-34.1751900,18.38990000,271.0
-34.1751300,18.39010000,269.0
-34.1751000,18.39015000,268.0
-34.1750800,18.39018000,268.0
-34.1750100,18.39022000,267.0
-34.1748200,18.39021000,266.0
-34.1746100,18.39014000,265.0
-34.1743800,18.38998000,264.0
-34.1742700,18.38977000,264.0
-34.1741200,18.38958000,263.0
-34.1739300,18.38932000,264.0
-34.1738200,18.38913000,265.0
-34.1737100,18.38895000,265.0
-34.1736900,18.38894000,265.0
-34.1736500,18.38890000,266.0
-34.1736200,18.38888000,266.0
-34.1735600,18.38887000,265.0
-34.1735200,18.38886000,265.0
-34.1734900,18.38885000,265.0
-34.1733000,18.38884000,265.0
-34.1730500,18.38884000,263.0
-34.1728200,18.38883000,263.0
-34.1726900,18.38882000,263.0
-34.1726300,18.38882000,263.0
-34.1725700,18.38881000,263.0
-34.1723500,18.38880000,262.0
-34.1721400,18.38880000,262.0
-34.1719300,18.38878000,263.0
-34.1718900,18.38877000,263.0
-34.1716600,18.38876000,263.0
-34.1715200,18.38875000,263.0
-34.1713700,18.38874000,263.0
-34.1713400,18.38874000,262.0
-34.1711500,18.38873000,262.0
-34.1709800,18.38873000,262.0
-34.1709500,18.38872000,262.0
-34.1709000,18.38872000,262.0
-34.1708400,18.38872000,262.0
-34.1706500,18.38871000,264.0
-34.1705100,18.38871000,265.0
-34.1704700,18.38870000,266.0
-34.1704100,18.38870000,266.0
-34.1703500,18.38869000,267.0
-34.1702800,18.38868000,267.0
-34.1700400,18.38867000,267.0
-34.1698200,18.38853000,268.0
-34.1696700,18.38838000,268.0
-34.1695600,18.38820000,269.0
-34.1695700,18.38806000,270.0
-34.1695500,18.38778000,272.0
-34.1695400,18.38754000,273.0
-34.1695200,18.38732000,273.0
-34.1695000,18.38709000,273.0
-34.1694800,18.38680000,274.0
-34.1694700,18.38654000,274.0
-34.1694500,18.38648000,274.0
-34.1694300,18.38642000,274.0
-34.1693400,18.38630000,275.0
-34.1693100,18.38607000,274.0
-34.1693200,18.38589000,275.0
-34.1693900,18.38565000,274.0
-34.1694200,18.38548000,274.0
-34.1694400,18.38545000,274.0
-34.1694500,18.38541000,274.0
-34.1694800,18.38535000,274.0
-34.1695000,18.38531000,274.0
-34.1695100,18.38528000,274.0
-34.1695300,18.38524000,274.0
-34.1695600,18.38502000,276.0
-34.1695700,18.38498000,276.0
-34.1696100,18.38492000,276.0
-34.1696600,18.38487000,276.0
-34.1696800,18.38482000,276.0
-34.1697300,18.38466000,275.0
-34.1698000,18.38452000,274.0
-34.1698500,18.38436000,274.0
-34.1698800,18.38427000,273.0
-34.1699300,18.38409000,273.0
-34.1699800,18.38404000,272.0
-34.1700000,18.38400000,272.0
-34.1700100,18.38395000,271.0
-34.1700100,18.38389000,271.0
-34.1700000,18.38375000,272.0
-34.1699700,18.38376000,272.0
-34.1699500,18.38374000,273.0
-34.1699800,18.38373000,272.0
-34.1700200,18.38372000,272.0
-34.1700300,18.38369000,272.0
-34.1700300,18.38361000,272.0
-34.1700200,18.38352000,273.0
-34.1700200,18.38336000,273.0
-34.1700200,18.38348000,273.0
-34.1700000,18.38350000,273.0
-34.1700200,18.38356000,272.0
-34.1700400,18.38352000,272.0
-34.1700500,18.38348000,273.0
-34.1700700,18.38346000,273.0
-34.1701200,18.38352000,272.0
-34.1701100,18.38348000,272.0
-34.1700700,18.38346000,273.0
-34.1700300,18.38348000,273.0
-34.1700100,18.38351000,273.0
-34.1700700,18.38342000,273.0
-34.1700200,18.38343000,273.0
-34.1700200,18.38349000,273.0
-34.1699900,18.38350000,273.0
-34.1700000,18.38347000,273.0
-34.1700000,18.38335000,273.0
-34.1699700,18.38317000,275.0
-34.1699100,18.38300000,276.0
-34.1698600,18.38284000,278.0
-34.1698000,18.38264000,279.0
-34.1697500,18.38244000,279.0
-34.1696700,18.38217000,279.0
-34.1696100,18.38189000,279.0
-34.1695500,18.38165000,278.0
-34.1694700,18.38141000,277.0
-34.1694100,18.38119000,275.0
-34.1693600,18.38111000,274.0
-34.1692900,18.38093000,274.0
-34.1691900,18.38073000,275.0
