"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-01","0.11","73","86","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-02","0.11","74","86","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-05","0.03","74","88","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-06","0.05","75","85","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-07","0.00","74","85","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-08",,"76","87","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-09",,"77","89","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-10","0.01","76","89","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-14","0.05","74","90","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-16","0.70","67","85","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-18","0.20","69","77","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-20",,"71","81","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-21",,"75","86","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-26",,"67","78","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-01-31",,"72","89","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-02-02",,"73","90","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-02-07",,"75","89","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-02-10","0.23","71","88","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-02-12",,"71","88","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-02-25",,"76","89","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-02-26",,"77","89","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-02-27",,"73","89","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-02-28","0.05","74","86","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-02","0.01","70","82","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-03","0.00","68","81","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-07",,"64","79","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-09",,"72","84","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-14",,"68","81","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-16",,"69","81","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-17",,"72","87","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-19",,"69","83","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-22",,"73","87","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-23",,"72","87","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-24",,"69","85","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-26",,"72","89","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-28",,"72","90","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-30","0.09","76","89","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-03-31","0.25","63","89","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-04",,"66","81","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-05",,"66","81","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-06",,"66","77","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-11",,"60","75","47"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-13",,"60","74","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-14",,"58","75",
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-15",,"66","82","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-17",,"67","82","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-18",,"65","82","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-19",,"61","74","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-26","0.01","64","78","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-28",,"65","84","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-04-30",,"73","91","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-04",,"75","91","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-05",,"67","91","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-07",,"64","76","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-09",,"67","84","53"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-10","0.01","64","85","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-11",,"63","85","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-13",,"64","80","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-15","0.30","57","81","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-16","0.31","55","72","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-17","0.00","60","80","44"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-18",,"63","80","48"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-19",,"59","81","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-21",,"54","66","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-23",,"64","80","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-24",,"64","82","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-26",,"62","81","47"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-27",,"61","81","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-29",,"60","77","47"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-30",,"59","78","44"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-05-31",,"60","78","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-01",,"59","76","46"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-03",,"54","71","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-04",,"54","75","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-06",,"63","79","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-07",,"61","75","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-08",,"64","77","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-09",,"53","77","47"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-10",,"50","64","37"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-11",,"51","67","35"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-12",,"56","79","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-14",,"53","67","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-15",,"57","72","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-17",,"58","72","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-18",,"62","75","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-20",,"59","76","46"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-22",,"60","71","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-23","0.13","63","71","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-27",,"62","76","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-28","0.02","56","76","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-29",,"62","80","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2012-06-30",,"61","82","45"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2012-01-01","0.02","58","66","52"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2012-01-02","0.01","58","65","52"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2012-01-03","0.10","62","65","58"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2012-01-04","1.14","65","68","62"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2012-01-05","0.10","62","68","57"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2012-01-06","0.13","62","67","58"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2012-01-07","0.09","65","71","61"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2012-01-08","0.36","57","71","51"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2012-01-09","0.01","54","62","46"
