"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-01",,"74","91","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-02","0.12","73","89","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-03","0.00","76","88","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-04",,"78","95","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-05",,"81","95","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-06",,"83","102","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-07",,"77","102","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-09","0.04","67","76","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-10","0.00","71","82","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-11","0.04","69","82","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-12","0.55","64","82","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-13","0.00","75","82","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-15","0.08","68","83","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-16","0.00","65","72","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-19",,"72","85","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-20",,"71","85","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-21",,"71","83","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-22",,"73","79","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-23",,"72","82","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-24","0.16","74","82","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-25","0.03","70","83","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-26","1.02","64","83","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-27","0.04","72","87","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-28","0.00","75","87","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-29",,"75","86","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-30",,"77","89","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-01-31",,"77","90","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-01",,"74","90","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-02",,"79","95","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-03",,"75","95","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-04","0.94","66","92","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-05","0.16","64","76","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-06","0.00","67","80","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-07",,"68","81","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-08",,"68","81","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-09",,"69","82","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-10",,"70","82","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-11",,"73","86","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-12",,"74","89","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-13",,"77","93","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-14","0.16","76","93","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-15","0.08","76","95","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-16","0.12","74","95","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-17","0.75","69","87","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-18","0.04","71","80","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-19","0.51","78","92","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-20","0.04","83","94","73"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2016-02-21","0.00","69","76","63"
