"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-04",,"58","68","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-05",,"57","73","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-06",,"57","74","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-07",,"61","74","48"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-08",,"62","74","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-09",,"61","73","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-10",,"61","74","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-11",,"60","79","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-12",,"59","79","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-13",,"63","78","53"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-14",,"57","78","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-15",,"69","78","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-16",,"63","78","47"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-17",,"51","73","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-18",,"55","75","35"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-19",,"55","75","35"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-20",,"62","79","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-21",,"56","79","47"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-22",,"56","77","34"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-23",,"54","77","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-24",,"56","68","46"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-25",,"60","78","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-07-26",,"55","78","45"
