"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-01",,,"69","81","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-02",,,"74","87","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-03",,,"73","87","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-04",,,"72","85","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-05",,,"74","87","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-06",,,"75","87","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-07",,,"74","85","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-08",,,"73","85","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-09",,,"74","85","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-10",,,"75","92","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-11","0.39",,"70","92","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-12","0.02",,"76","89","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-13","0.00",,"70","89","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-14","0.04",,"68","80","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-15","0.02",,"74","90","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-16","0.00",,"74","90","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-17",,,"75","89","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-18",,,"72","89","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-19","0.31",,"71","82","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-20","0.03",,"72","81","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-21","0.02",,"72","83","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-22","0.00",,"72","83","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-23",,,"78","89","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-24",,,"78","89","72"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-25",,,"73","87","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-26",,,"70","83","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-27","0.02",,"70","79","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-28","0.08",,"75","87","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-29","0.00",,"77","89","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-30",,,"73","89","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-01-31",,,"69","86","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-01",,,"73","84","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-02",,,"71","84","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-03",,,"64","84","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-04",,,"71","82","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-05",,,"76","89","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-06",,,"73","89","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-07",,,"70","86","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-08",,,"73","88","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-09","0.16",,"71","88","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-10","0.01",,"73","84","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-11","0.00",,"77","90","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-12",,,"78","91","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-13",,,"76","91","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-14",,,"73","86","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-15","0.08",,"71","84","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-16","0.00",,"71","83","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-17",,,"70","83","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-18",,,"75","89","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-19",,,"73","89","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-20",,,"75","87","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-21","0.01",,"70","87","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-22","0.02",,"70","80","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-23","0.00",,"75","83","69"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-24","0.04",,"74","83","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-25","0.00",,"73","85","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-26","0.04",,"67","85","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-27","0.00",,"70","87","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-02-28","0.01",,"76","92","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-01","0.63",,"75","92","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-02","0.35",,"75","87","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-03","0.02",,"69","85","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-04","0.94",,"68","75","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-05","2.05",,"66","75","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-06","0.79",,"69","77","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-07","0.04",,"72","82","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-08","0.00",,"71","82","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-09","0.12",,"68","80","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-10","0.12",,"62","74","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-11","0.03",,"68","79","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-12","0.00",,"71","83","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-13","0.02",,"58","83","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-14","0.00",,"65","80","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-15",,,"69",,"56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-16",,,"76",,"51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-17",,,"72","92","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-18","0.08",,"66","92","48"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-19","0.00",,"76",,"62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-20",,,"65","73","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-21",,,"65","71","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-22",,,"67","78","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-23",,,"70","81","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-24",,,"70","81","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-25",,,"69","80","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-26",,,"69","88","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-27",,,"62","88","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-28","0.24",,"59","67","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2014-03-29","0.02",,"64","80","53"
