"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-12",,"47","74","33"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-13",,"46","63","27"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-14",,"48","67","30"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-15",,"48","67","29"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-16",,"48","63","39"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-17","0.16","47","59","46"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-18","1.14","45","52","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-19","0.35","49","63","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-20","0.01","53","71","37"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-21","0.00","53","71","36"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-22",,"51","70","35"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-23",,"54","73","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-24",,"56","73","39"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-25",,"56","70","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-26",,"58","74","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-27",,"60","74","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-28",,"61","77","53"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-29",,"55","77","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2020-06-30",,"52","68","43"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2020-01-01","0.04","57","70","53"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2020-01-02","0.01","58","64","54"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2020-01-03","0.47","51","64","47"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2020-01-04","0.79","53","61","47"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2020-01-05","0.00","59","63","54"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2020-01-06",,"62","68","54"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2020-01-07",,"54","68","50"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2020-01-08",,"51","58","46"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2020-01-09",,"54","57","49"
