"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-01","0.08",,"67","74","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-02","0.01",,"74","85","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-05",,,"77","92","68"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-07",,,"67","85","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-08",,,"74","90","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-09","0.08",,"72","90","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-11",,,"76","86","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-12",,,"74","85","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-13",,,"77","91","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-14",,,"70","91","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-15",,,"71","84","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-16",,,"75","86","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-17",,,"65","74","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-19",,,"70","78","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-20",,,"67","78","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-21",,,"72","91","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-22",,,"68","91","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-23",,,"68","83","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-24",,,"71","85","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-25",,,"73","88","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-26",,,"75","88","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-27",,,"74","88","69"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-28",,,"65","88","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-29",,,"63","73","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-01-30","0.01",,"68","79","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-01","0.59",,"64","84","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-02","0.31",,"62","74","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-03","0.02",,"66","82","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-04","0.01",,"72","89","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-05","0.00",,"76","93","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-06","0.03",,"67","93","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-07","0.43",,"71","81","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-08","0.00",,"72","86","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-09",,,"77","89","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-10",,,"73","89","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-11",,,"74","95","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-12",,,"71","86","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-13",,,"74","88","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-14",,,"73","89","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-15",,,"64","89","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-16","0.01",,"60","75","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-24",,,"70","81","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-25",,,"68","80","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-26",,,"74","85","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-27",,,"67","85","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-02-28",,,"66","75","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-01",,,"67","77","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-02",,,"60","77","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-03",,,"62","72","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-04",,,"66","81","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-05",,,"69","85","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-06",,,"70","85","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-07",,,"66","79","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-09",,,"69","81","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-10",,,"74","89","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-11",,,"69","89","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-12","0.12",,"67","79","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-13","0.00",,"69","86","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-14","0.01",,"66","86","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-15","0.08",,"72","85","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-16","0.00",,"77","89","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-17","0.51",,"65","89","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-18","0.01",,"69","82","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-19","0.04",,"74","85","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-20","0.02",,"70","85","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-21","0.00",,"72","86","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-22","0.02",,"71","86","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-23","0.00",,"69","81","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-24","1.73",,"72","84","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-25","0.01",,"72","84","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-28",,,"63","77","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-29",,,"66","77","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-30",,,"68","80","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-03-31",,,"69","79","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-04-01",,,"68","83","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-04-02",,,"71","83","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-04-04",,,"67","81","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-04-05",,,"67","82","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2015-04-06","0.20",,"60","82","52"
