"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-14",,"69","81","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-15",,"77","87","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-16","0.02","66","87","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-17","0.00","73","84","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-18",,"72","85","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-19",,"65","85","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-20",,"65","76","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-21",,"67","82","53"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-22",,"71","86","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-23",,"72","88","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-24","0.04","67","88","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-25","1.14","58","81","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-26","0.04","60","70","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-27","0.02","68","82","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-28","0.00","70","87","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-29",,"67","87","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-30",,"71","84","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-03-31",,"74","91","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-01",,"69","91","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-02",,"71","83","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-03",,"74","89","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-04",,"74","89","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-05",,"75","90","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-06",,"66","90","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-07","0.01","64","75","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-08","0.24","68","78","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-09","0.00","69","79","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-10","0.01","70","79","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-11","0.00","68","79","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-12","0.02","68","80","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-14","0.01","67","85","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-15","0.43","56","63","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-16","0.01","57","69","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-17","0.00","60","73","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-18",,"62","74","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-19",,"61","74","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-20",,"58","73","47"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-21",,"58","73","44"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-22",,"58","75","44"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-23",,"59","75","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-24",,"58","75","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-25","0.02","59","70","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-26","0.00","63","75","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-27",,"62","76","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-28",,"63","76","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-29",,"61","74","53"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-04-30",,"60","70","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-01",,"61","69","53"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-02",,"63","78","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-03",,"66","79","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-04",,"65","79","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-05",,"66","81","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-06",,"66","81","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-07",,"68","81","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-08",,"65","81","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-09",,"66","77","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-10",,"64","77","47"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-11",,"65","80","46"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-12",,"54","80","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-13",,"48","62","46"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-14","0.35","49","52","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-15","1.42","54","58","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-16","0.04","57","64","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-17","0.01","58","71","44"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-18","0.01","58","73","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-19","0.00","59","77","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-20",,"59","80","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-21",,"59","80","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-22",,"60","81","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-23",,"61","81","43"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-24",,"67","80","53"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-25",,"55","80","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-26",,"66","80","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-27",,"59","80","44"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-28",,"53","72","46"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-29",,"51","62","38"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-05-31",,"59","72","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-01",,"55","73","39"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-02",,"57","76","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-03",,"57","77","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-05",,"53","76","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-06",,"59","70","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-07",,"66","78","53"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-08",,"60","78","51"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-09",,"52","73","46"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-10",,"57","72","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-11",,"61","74","49"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-12",,"60","74","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-13",,"60","80","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-14",,"56","80","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-15",,"62","78","48"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-16",,"53","78","40"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-17",,"60","74","44"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-18",,"53","74","42"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-19",,"56","70","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-20",,"59","77","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-21",,"57","77","52"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-22",,"65","77","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-23",,"49","77","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-24",,"54","70","45"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-25",,"52","71","36"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-26",,"52","71","41"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-27",,"59","71","50"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-28",,"59","72","44"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2017-06-29",,"52","72","46"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-01","0.16","54","60","51"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-02",,"56","63","48"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-04","1.06","53","67","47"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-05","0.00","56","65","45"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-06","0.16","65","70","60"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-07","0.71","59","65","54"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-08","0.16","54","64","49"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-09","0.00","57","67","48"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-10",,"57","67","50"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-11",,"52","63","48"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-12","0.20","59","73","45"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-13","0.00","44","49","40"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-14","0.02","44",,"37"
"SF000068858","EAST LONDON, SF","-33.033","27.833","125.0","2017-01-15","0.00","59","62",
