"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-01","0.08","74","92","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-02","0.01","61",,"57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-03","0.00","62","74","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-04",,"66","78","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-05",,"73","90","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-06",,"74","90","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-07",,"76","86","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-08",,"74","92","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-09",,"61",,"57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-10",,"60","66","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-11",,"63","71","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-12",,"69","80","55"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-13",,"72","86","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-14",,"72","86","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-15",,"74","94","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-16",,"69","94","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-17",,"73","87","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-18",,"74","87","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-19",,"76","87","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-20",,"71","87","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-21","0.16","68","83","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-22","0.03","67","77","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-23","0.04","67","81","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-24","0.20","73","85","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-25","2.20","69","85","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-26","0.31","71","80","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-27","0.01","71","87","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-28","0.08","66","87","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-29","0.00","66","77","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-30",,"73","85","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-01-31",,"66","85","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-01","0.24","68","81","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-02","0.02","76","91","67"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-03","0.00","65","91","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-04",,"71","83","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-05",,"70","83","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-06",,"76","89","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-07","0.35","68","89","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-08","0.04","68","78","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-09","0.00","71","82","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-10",,"72","83","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-11",,"67","83","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-15",,"70","78","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-16",,"67","78","62"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-17",,"69","78","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-18",,"72","82","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-19",,"71","82","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-20",,"71","81","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-21",,"69","81","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-22",,"65","80","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-23",,"72","82","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-24",,"74","87","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-25",,"60","87","54"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-26",,"59","74","53"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-27",,"67","80","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-02-28",,"71","84","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-01",,"71","87","56"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-02",,"67","87","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-03",,"69","80","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-04",,"73","84","63"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-05",,"74","84","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-06",,"75","87","66"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-07",,"71","87","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-08",,"66","84","61"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-09",,"64","73","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-10",,"66","78","58"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-11",,"70","84","60"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-12","0.31","66","84","57"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-13","0.01","70","83","59"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-14","1.89","77","92","64"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-15","0.00","75","93","65"
"SF003724960","VRYHEID, SF","-27.783","30.8","1163.0","2018-03-16","0.04","65","93","62"
